abnormal_reason_code	abnormal_reason_description	abnormal_reason_type	abnormal_reason_trigger_reason	abnormal_reason_suggest
3218	数据包过滤器句法错误(218)	GTP错误：协议错误	1、当TFT操作为"Create a new TFT"时，并且在合成的TFT中两个或多个分组过滤器都有相同的分组过滤标识；2、当TFT操作为"Create a new TFT"时，并且在所有PDP地址有关联的TFT中两个或多个分组过滤器都有相同分组过滤优先级；3、在分组过滤编码中有其它类型的语法错误，例如使用保留值作为分组过滤构成的标识。	1、请检查TFT设置是否存在错误
3901	PDP更新网络无响应	网络无响应	1、可能为用户Update PDP过程中，与网络协商的Qos值不符合GGSN要求，未能收到任何网络响应消息，SGSN侧将修改请求的Qos值再次发起请求。	1、检查故障分布规律，是否集中分布在某段时间或某个网元
3902	PDP更新过程掉线：用户原因	异常连接断开/掉线	1、在PDP更新过程中，用户由于某种原因离线	1、属于用户原因
3903	PDP更新过程掉线：网络原因	异常连接断开/掉线	1、在PDP更新过程中，网络由于某种原因掉线	1、检查故障前后信令流程
4000	未知错误(0x00)	WTP异常中止：服务提供商原因	1、未知错误	1、请检查错误前后信令流程
4001	协议错误(0x01)	WTP异常中止：服务提供商原因	1、协议错误	未定义
4002	TID无效(0x02)	WTP异常中止：服务提供商原因	1、与WAP的一个Session还未结束的情况下，又发起一个Session。	未定义
4003	Class 2不支持(0x03)	WTP异常中止：服务提供商原因	1、Class 2不支持	未定义
4004	SAR不支持(0x04)	WTP异常中止：服务提供商原因	1、SAR不支持	未定义
4005	用户确认不支持(0x05)	WTP异常中止：服务提供商原因	1、用户确认不支持	未定义
4006	不支持WTP版本1(0x06)	WTP异常中止：服务提供商原因	1、如果请求的语法不对，服务器将无法理解。	未定义
4007	临时容量溢出(0x07)	WTP异常中止：服务提供商原因	1、临时容量溢出	未定义
4008	无响应(0x08)	WTP异常中止：服务提供商原因	1、无响应	未定义
4009	消息过长(0x09)	WTP异常中止：服务提供商原因	1、消息过长	未定义
4129	未定义错误(0x81)	彩信发送异常	1、在处理或接收相应请求期间出现未指明的错误	未定义
4224	协议错误，非法PDU接收(0xE0)	WTP异常中止：用户原因	1、一般是由于某些品牌的终端对数据包乱序整合的能力较差引起。服务器已经完整的响应了用户请求，但是终端却认为丢包，手机终端存在Bug不能正常处理此包而导致错误发生	1、可能是终端问题导致；
4225	会话断开(0xE1)	WTP异常中止：用户原因	1、用户行为以及终端性能造成的Abort。	1、用户或者终端问题引起
4226	会话挂起(0xE2)	WTP异常中止：用户原因	B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起。	1、正常事件通知
4227	会话被恢复(0xE3)	WTP异常中止：用户原因	1、B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起，CS业务结束后，会话被恢复。	1、正常事件通知
4228	用户忙，不能处理SDU(0xE4)	WTP异常中止：用户原因	1、用户忙，不能处理SDU	1、用户或者终端问题引起
4229	会话连接失败(0xE5)	WTP异常中止：用户原因	1、会话连接失败。	1、用户或者终端问题引起
4230	最大接收单元溢出(0xE6)	WTP异常中止：用户原因	1、Reply/Response未处理次数超出设定的最大值，手机处理能力有限，当超出最大值是，发起Abort消息。	1、用户或者终端问题引起
4231	最大请求次数溢出(0xE7)	WTP异常中止：用户原因	1、这种情况一般是由于用户发起请求频繁，而网络对用户同时发起的请求处理能力是有限的，当超出最大值时，发起该Abort消息。	1、用户或者终端问题引起
4232	用户请求放弃(0xE8)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
4233	网络错误(0xE9)	WTP异常中止：用户原因	1、网络错误。	1、用户或者终端问题引起
4234	用户请求放弃(0xEA)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
4235	用户拒绝Push消息，无特别原因。(0xEB)	WTP异常中止：用户原因	1、用户拒绝Push消息，无特别原因。	1、用户或者终端问题引起
4236	Push消息不能传送到指定目的(0xEC)	WTP异常中止：用户原因	1、Push消息不能传送到指定目的	1、用户或者终端问题引起
4237	Push消息由于资源短缺而放弃(0xED)	WTP异常中止：用户原因	1、Push消息由于资源短缺而放弃	1、用户或者终端问题引起
4238	Push消息终端内容类型不能处理(0xEE)	WTP异常中止：用户原因	1、Push消息终端内容类型不能处理	1、用户或者终端问题引起
4240	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4400	400 请求出现语法错误	WSP/HTTP/彩信接收响应错误	1、请求需要用户授权。	1、SP服务器问题
4401	401 访问被拒绝	WSP/HTTP/彩信接收响应错误	1、保留的状态码，具体原因未定义	1、SP服务器问题
4402	402 必需支付方能访问	WSP/HTTP/彩信接收响应错误	1、服务器理解请求，但是拒绝实现该请求。	1、SP服务器问题
4403	403 资源不可用	WSP/HTTP/彩信接收响应错误	1、服务器没有找到与请求URI相符的资源。404状态码并不指明状况是临时性的还是永久性的。如果服务器不希望为客户端提供这方面的信息，还回应403（禁止）状态码。	1、SP服务器问题
4404	404 无法找到指定位置的资源	WSP/HTTP/彩信接收响应错误	1、请求的方法（Get/Post/Head/Delete/Put/Trace）对请求的资源不适用。	1、SP服务器问题
4405	405 请求方法对指定资源不适用	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
4406	406 客户端浏览器对资源不兼容	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
4407	407 代理服务器认证所必需	WSP/HTTP/彩信接收响应错误	1、客户必须先通过代理服务器授权。	1、SP服务器问题
4408	408 请求超时	WSP/HTTP/彩信接收响应错误	1、请求超时无响应。	1、SP服务器问题
4409	409 请求和当前资源状态冲突	WSP/HTTP/彩信接收响应错误	1、通常和Put请求有关，由于请求和资源当前状态相冲突，因此请求不能成功。	1、SP服务器问题
4410	410 请求的资源已不可用	WSP/HTTP/彩信接收响应错误	1、主要用于Web维护任务，通过指示接收者，源资源不可用。	1、SP服务器问题
4411	411 服务器需客户端发送content-length	WSP/HTTP/彩信接收响应错误	1、服务器不能处理请求，除非客户发送一个Content-Length头。	1、SP服务器问题
4412	412 预处理失败	WSP/HTTP/彩信接收响应错误	1、Web Server对提交到服务器的请求进行过滤，对不满足预先定义条件要求的请求全部响应412 Precondition failed状态码。	1、SP服务器问题
4413	413 请求实体太大	WSP/HTTP/彩信接收响应错误	1、服务器拒绝处理请求，因为请求实体长于服务器能够处理的长度。	1、SP服务器问题
4414	414 请求的URI过长	WSP/HTTP/彩信接收响应错误	1、终端请求的URI太长。	1、SP服务器问题
4415	415 不被支持的媒体类型	WSP/HTTP/彩信接收响应错误	1、服务器拒绝服务当前请求因为请求数据格式并不被请求的资源支持。	1、SP服务器问题
4416	416 请求范围不满足	WSP/HTTP/彩信接收响应错误	1、服务器不能满足客户在请求中指定的Range头。	1、SP服务器问题
4417	417 执行失败	WSP/HTTP/彩信接收响应错误	1、服务器执行失败。	1、SP服务器问题
4421	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4422	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4433	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4466	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4500	500 服务器内部错误	WSP/HTTP/彩信接收响应错误	1、服务器碰到了意外情况，使其无法继续回应请求。	1、SP服务器问题
4501	501 服务器不支持实现请求的功能	WSP/HTTP/彩信接收响应错误	1、服务器无法提供对请求中所要求功能的支持。	1、SP服务器问题
4502	502 服务器返回非法应答	WSP/HTTP/彩信接收响应错误	1、充当网关或代理的服务器从要发送请求的上游（upstream）服务器收到非法的回应。	1、SP服务器问题
4503	503 服务不可用	WSP/HTTP/彩信接收响应错误	1、服务器当前无法处理请求。	1、SP服务器问题
4504	504 网关超时	WSP/HTTP/彩信接收响应错误	1、由作为代理或网关的服务器使用，表示不能及时从远程服务器获得应答。	1、SP服务器问题
4505	505 WSP版本不支持	WSP/HTTP/彩信接收响应错误	1、服务器不支持。	1、SP服务器问题
4506	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4520	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4603	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4604	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4606	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4702	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4707	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
4901	业务请求网络无响应	网络无响应	未定义	未定义
4902	WSP/HTTP上网掉线：用户原因	异常连接断开/掉线	1、WSP/HTTP请求过程中，用户由于某种原因离线	1、属于用户原因
4903	WSP/HTTP上网掉线：网络原因	异常连接断开/掉线	1、WSP/HTTP请求过程中，网络由于某种原因掉线	1、检查故障前后信令流程
4905	上行TCP连接重置	TCP连接重置：用户原因	1、用户侧发起TCP Reset	未定义
4906	下行TCP连接重置	TCP连接重置：服务提供商原因	1、网络侧发起TCP Reset	未定义
5000	未知错误(0x00)	WTP异常中止：服务提供商原因	1、未知错误	1、请检查错误前后信令流程
5001	协议错误(0x01)	WTP异常中止：服务提供商原因	1、协议错误	未定义
5002	TID无效(0x02)	WTP异常中止：服务提供商原因	1、与WAP的一个Session还未结束的情况下，又发起一个Session。	未定义
5003	Class 2不支持(0x03)	WTP异常中止：服务提供商原因	1、Class 2不支持	未定义
5004	SAR不支持(0x04)	WTP异常中止：服务提供商原因	1、SAR不支持	未定义
5005	用户确认不支持(0x05)	WTP异常中止：服务提供商原因	1、用户确认不支持	未定义
5006	不支持WTP版本1(0x06)	WTP异常中止：服务提供商原因	1、如果请求的语法不对，服务器将无法理解。	未定义
5007	临时容量溢出(0x07)	WTP异常中止：服务提供商原因	1、临时容量溢出	未定义
5008	无响应(0x08)	WTP异常中止：服务提供商原因	1、无响应	未定义
5009	消息过长(0x09)	WTP异常中止：服务提供商原因	1、消息过长	未定义
5224	协议错误，非法PDU接收(0xE0)	WTP异常中止：用户原因	1、一般是由于某些品牌的终端对数据包乱序整合的能力较差引起。服务器已经完整的响应了用户请求，但是终端却认为丢包，手机终端存在Bug不能正常处理此包而导致错误发生	1、可能是终端问题导致；
5225	会话断开(0xE1)	WTP异常中止：用户原因	1、用户行为以及终端性能造成的Abort。	1、用户或者终端问题引起
5226	会话挂起(0xE2)	WTP异常中止：用户原因	B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起。	1、正常事件通知
5227	会话被恢复(0xE3)	WTP异常中止：用户原因	1、B类手机CS业务优先，在请求过程中，发起CS业务，切换至CS业务，会话被挂起，CS业务结束后，会话被恢复。	1、正常事件通知
5228	用户忙，不能处理SDU(0xE4)	WTP异常中止：用户原因	1、用户忙，不能处理SDU	1、用户或者终端问题引起
5229	会话连接失败(0xE5)	WTP异常中止：用户原因	1、会话连接失败。	1、用户或者终端问题引起
5230	最大接收单元溢出(0xE6)	WTP异常中止：用户原因	1、Reply/Response未处理次数超出设定的最大值，手机处理能力有限，当超出最大值是，发起Abort消息。	1、用户或者终端问题引起
5231	最大请求次数溢出(0xE7)	WTP异常中止：用户原因	1、这种情况一般是由于用户发起请求频繁，而网络对用户同时发起的请求处理能力是有限的，当超出最大值时，发起该Abort消息。	1、用户或者终端问题引起
5232	用户请求放弃(0xE8)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
5233	网络错误(0xE9)	WTP异常中止：用户原因	1、网络错误。	1、用户或者终端问题引起
5234	用户请求放弃(0xEA)	WTP异常中止：用户原因	1、有可能用户快速浏览，在页面完全打开前已经开始下一个链接；也有可能用户在浏览的过程中已看到相关的内容，不想再看，而请求的主动断开连接。但需注意，也有可能是用户等待时间太长，用户不愿意继续等待而主动放弃。	1、用户或者终端问题引起
5235	用户拒绝Push消息，无特别原因。(0xEB)	WTP异常中止：用户原因	1、用户拒绝Push消息，无特别原因。	1、用户或者终端问题引起
5236	Push消息不能传送到指定目的(0xEC)	WTP异常中止：用户原因	1、Push消息不能传送到指定目的	1、用户或者终端问题引起
5237	Push消息由于资源短缺而放弃(0xED)	WTP异常中止：用户原因	1、Push消息由于资源短缺而放弃	1、用户或者终端问题引起
5238	Push消息终端内容类型不能处理(0xEE)	WTP异常中止：用户原因	1、Push消息终端内容类型不能处理	1、用户或者终端问题引起
5400	400 请求出现语法错误	WSP/HTTP/彩信接收响应错误	1、请求需要用户授权。	1、SP服务器问题
5401	401 访问被拒绝	WSP/HTTP/彩信接收响应错误	1、保留的状态码，具体原因未定义	1、SP服务器问题
5402	402 必需支付方能访问	WSP/HTTP/彩信接收响应错误	1、服务器理解请求，但是拒绝实现该请求。	1、SP服务器问题
5403	403 资源不可用	WSP/HTTP/彩信接收响应错误	1、服务器没有找到与请求URI相符的资源。404状态码并不指明状况是临时性的还是永久性的。如果服务器不希望为客户端提供这方面的信息，还回应403（禁止）状态码。	1、SP服务器问题
5404	404 无法找到指定位置的资源	WSP/HTTP/彩信接收响应错误	1、请求的方法（Get/Post/Head/Delete/Put/Trace）对请求的资源不适用。	1、SP服务器问题
5405	405 请求方法对指定资源不适用	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
5406	406 客户端浏览器对资源不兼容	WSP/HTTP/彩信接收响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
5407	407 代理服务器认证所必需	WSP/HTTP/彩信接收响应错误	1、客户必须先通过代理服务器授权。	1、SP服务器问题
5408	408 请求超时	WSP/HTTP/彩信接收响应错误	1、请求超时无响应。	1、SP服务器问题
5409	409 请求和当前资源状态冲突	WSP/HTTP/彩信接收响应错误	1、通常和Put请求有关，由于请求和资源当前状态相冲突，因此请求不能成功。	1、SP服务器问题
5410	410 请求的资源已不可用	WSP/HTTP/彩信接收响应错误	1、主要用于Web维护任务，通过指示接收者，源资源不可用。	1、SP服务器问题
5411	411 服务器需客户端发送content-length	WSP/HTTP/彩信接收响应错误	1、服务器不能处理请求，除非客户发送一个Content-Length头。	1、SP服务器问题
5412	412 预处理失败	WSP/HTTP/彩信接收响应错误	1、Web Server对提交到服务器的请求进行过滤，对不满足预先定义条件要求的请求全部响应412 Precondition failed状态码。	1、SP服务器问题
5413	413 请求实体太大	WSP/HTTP/彩信接收响应错误	1、服务器拒绝处理请求，因为请求实体长于服务器能够处理的长度。	1、SP服务器问题
5414	414 请求的URI过长	WSP/HTTP/彩信接收响应错误	1、终端请求的URI太长。	1、SP服务器问题
5415	415 不被支持的媒体类型	WSP/HTTP/彩信接收响应错误	1、服务器拒绝服务当前请求因为请求数据格式并不被请求的资源支持。	1、SP服务器问题
5416	416 请求范围不满足	WSP/HTTP/彩信接收响应错误	1、服务器不能满足客户在请求中指定的Range头。	1、SP服务器问题
5417	417 执行失败	WSP/HTTP/彩信接收响应错误	1、服务器执行失败。	1、SP服务器问题
5422	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
5461	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
5463	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
5500	500 服务器内部错误	WSP/HTTP/彩信接收响应错误	1、服务器碰到了意外情况，使其无法继续回应请求。	1、SP服务器问题
5501	501 服务器不支持实现请求的功能	WSP/HTTP/彩信接收响应错误	1、服务器无法提供对请求中所要求功能的支持。	1、SP服务器问题
5502	502 服务器返回非法应答	WSP/HTTP/彩信接收响应错误	1、充当网关或代理的服务器从要发送请求的上游（upstream）服务器收到非法的回应。	1、SP服务器问题
5503	503 服务不可用	WSP/HTTP/彩信接收响应错误	1、服务器当前无法处理请求。	1、SP服务器问题
5504	504 网关超时	WSP/HTTP/彩信接收响应错误	1、由作为代理或网关的服务器使用，表示不能及时从远程服务器获得应答。	1、SP服务器问题
5505	505 WSP版本不支持	WSP/HTTP/彩信接收响应错误	1、服务器不支持。	1、SP服务器问题
5606	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
5707	协议规范未定义的错误	协议规范未定义的错误	未定义	未定义
5901	业务请求网络无响应	网络无响应	未定义	未定义
5902	WSP/HTTP上网掉线：用户原因	异常连接断开/掉线	1、WSP/HTTP请求过程中，用户由于某种原因离线	1、属于用户原因
5903	WSP/HTTP上网掉线：网络原因	异常连接断开/掉线	1、WSP/HTTP请求过程中，网络由于某种原因掉线	1、检查故障前后信令流程
5905	上行TCP连接重置	TCP连接重置：用户原因	1、用户侧发起TCP Reset	未定义
5906	下行TCP连接重置	TCP连接重置：服务提供商原因	1、网络侧发起TCP Reset	未定义
6000	未知错误(0x00)	WTP异常中止：服务提供商原因	 	 
6001	协议错误(0x01)	WTP异常中止：服务提供商原因	 	 
6002	TID无效(0x02)	WTP异常中止：服务提供商原因	 	 
6003	Class 2不支持(0x03)	WTP异常中止：服务提供商原因	 	 
6004	SAR不支持(0x04)	WTP异常中止：服务提供商原因	 	 
6005	用户确认不支持(0x05)	WTP异常中止：服务提供商原因	 	 
6006	不支持WTP版本1(0x06)	WTP异常中止：服务提供商原因	 	 
6007	临时容量溢出(0x07)	WTP异常中止：服务提供商原因	 	 
6008	无响应(0x08)	WTP异常中止：服务提供商原因	 	 
6009	消息过长(0x09)	WTP异常中止：服务提供商原因	 	 
6129	未定义错误(0x81)	彩信发送异常	未定义	未定义
6130	服务拒绝－用户输入错误手机号码(0x82)	彩信发送异常	1、由于始发MMSRelay/ServerRelay/Server的验证或鉴权失败，未接收相应的请求。	1、属于用户行为，如用户输入错误的发送号码等。
6131	消息格式损坏(0x83)	彩信发送异常	1、在分析相应的请求期间，检测到消息格式不一致。	未定义
6132	发送地址不明确(0x84)	彩信发送异常	1、MMS地址（自：、至：、抄送：）的格式不正确，或所有地址均不属于接收方	1、属于用户侧原因
6133	消息未找到(0x85)	彩信发送异常	1、此状态码已作废	未定义
6134	网络问题(0x86)	彩信发送异常	1、由于容量超载，接收方MMSRelay/ServerRelay/Server无法接受相应的请求。	1、属于用户侧原因
6135	内容不被接收－消息大小超出系统限制(0x87)	彩信发送异常	1、由于大小、介质类型、版本或其它一些原因，不接受MM内容。	未定义
6136	消息不支持(0x88)	彩信发送异常	1、接收方MMSRelay/ServerRelay/Server不支持相应的请求摘要消息。	未定义
6224	协议错误，非法PDU接收(0xE0)	WTP异常中止：用户原因	 	 
6225	会话断开(0xE1)	WTP异常中止：用户原因	 	 
6226	会话挂起(0xE2)	WTP异常中止：用户原因	 	 
6227	会话被恢复(0xE3)	WTP异常中止：用户原因	 	 
6228	用户忙，不能处理SDU(0xE4)	WTP异常中止：用户原因	 	 
6229	会话连接失败(0xE5)	WTP异常中止：用户原因	 	 
6230	最大接收单元溢出(0xE6)	WTP异常中止：用户原因	 	 
6231	最大请求次数溢出(0xE7)	WTP异常中止：用户原因	 	 
6232	用户请求放弃(0xE8)	WTP异常中止：用户原因	 	 
6233	网络错误(0xE9)	WTP异常中止：用户原因	 	 
6234	用户请求放弃(0xEA)	WTP异常中止：用户原因	 	 
6235	用户拒绝Push消息，无特别原因。(0xEB)	WTP异常中止：用户原因	 	 
6236	Push消息不能传送到指定目的(0xEC)	WTP异常中止：用户原因	 	 
6237	Push消息由于资源短缺而放弃(0xED)	WTP异常中止：用户原因	 	 
6238	Push消息终端内容类型不能处理(0xEE)	WTP异常中止：用户原因	 	 
6400	400 请求出现语法错误	WSP/HTTP/彩信发送响应错误	1、请求需要用户授权。	1、SP服务器问题
6401	401 访问被拒绝	WSP/HTTP/彩信发送响应错误	1、保留的状态码，具体原因未定义	1、SP服务器问题
6402	402 必需支付方能访问	WSP/HTTP/彩信发送响应错误	1、服务器理解请求，但是拒绝实现该请求。	1、SP服务器问题
6403	403 资源不可用	WSP/HTTP/彩信发送响应错误	1、服务器没有找到与请求URI相符的资源。404状态码并不指明状况是临时性的还是永久性的。如果服务器不希望为客户端提供这方面的信息，还回应403（禁止）状态码。	1、SP服务器问题
6404	404 无法找到指定位置的资源	WSP/HTTP/彩信发送响应错误	1、请求的方法（Get/Post/Head/Delete/Put/Trace）对请求的资源不适用。	1、SP服务器问题
6405	405 请求方法对指定资源不适用	WSP/HTTP/彩信发送响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
6406	406 客户端浏览器对资源不兼容	WSP/HTTP/彩信发送响应错误	1、用户请求链接的网页内容包含其终端无法接受的类型，该错误的原因是用户要求与终端能力不匹配。	1、SP服务器问题
6407	407 代理服务器认证所必需	WSP/HTTP/彩信发送响应错误	1、客户必须先通过代理服务器授权。	1、SP服务器问题
6408	408 请求超时	WSP/HTTP/彩信发送响应错误	1、请求超时无响应。	1、SP服务器问题
